source_layer,relative_path,bytes,sha256
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.cpg,5,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.dbf,55150420,c9747f278544397ad17dbb652ec8d0fa21ecc628a9a3549ef9cbd9a197384518
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.prj,145,a02a27b1d1982c8516d83398e85a3c8b1aef1713c13ef4d84d7bde17430c07c4
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.sbn,916932,d8227c7a2559e101b5a5a020f28387eae6eb32203cf362b8e29f7c81d83e9669
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.sbx,34596,e0f346fa1548543c97384c812adfd939293ad654dac5a4cabac53f8ea215e840
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.shp,2657916,fb8c6b008ce862cc7c7596fb7d4dc584ab98c6a984e5f381751aad23c3eab42b
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.shp.xml,1177,e078144e8c468fca08102d7bf8aceb2030579b058f23cb5b1065005ff2eefd77
urban_rural,Centros_Poblados_INEI_geogpsperu_SuyoPomalia (1)/Centros_Poblados_INEI_geogpsperu_SuyoPomalia.shx,759476,65d708fe15db1009d09fad7c1b1b64783591b7bfca9380c9a45e6d552e802de2
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.cpg,5,3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.dbf,162032592,67a9ddc40457b9d4e3020e09a2184dc7aa9d8a2c841292ad925b59608527304c
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.prj,145,a02a27b1d1982c8516d83398e85a3c8b1aef1713c13ef4d84d7bde17430c07c4
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.sbn,916932,f05ff5dc42a4c72ff28a207c050610b883511ce024bf65f84f246ca2beffba29
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.sbx,34596,e0f346fa1548543c97384c812adfd939293ad654dac5a4cabac53f8ea215e840
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.shp,2657916,d99d3066c1fcceed1fb57c622767f82773f4d84b080bdbc386bfbec4858905bd
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.shp.xml,732,ac5389b1b42f9a38fa64e9a05b8751043dc5075804e6b515638af942cfe970fa
category,Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia/Centros_Poblados_Categoria_INEI_geogpsperu_SuyoPomalia.shx,759476,65d708fe15db1009d09fad7c1b1b64783591b7bfca9380c9a45e6d552e802de2
