"relative_path","classification","sha256","bytes","lines","active_lines","use_commands","save_commands","merge_commands","reclink_commands","rdrobust_commands","rddensity_commands","rdplot_commands","putexcel_commands","graph_export_commands","absolute_path_lines","raw_reference_lines","masspoints_off_lines","set_seed_commands","validation_commands"
"0h. clean_censo2017.do","auxiliary or uncategorized","43fc66f717a0747a031127fc69a635976a5b06da44241815c5e41d054ad43b24","7607","221","123","3","0","0","0","0","0","0","0","0","1","0","0","0","0"
"0i. clean_testimonios.do","auxiliary or uncategorized","35808f036b5582909a0d688f3dbe41f00a177608ada48242861d6b07a8da1335","12841","251","178","2","0","1","0","0","0","0","0","0","1","2","0","1","0"
"1 HVC - APU\4. RD estimations - Sisfoh 2013 - CCPP level.do","regional specification archive","20ff0a2e4e1fb1e1eb7b427a575a87a1898ac45f097b718d856e4fa433f34daa","17437","456","293","1","0","0","0","7","0","0","27","0","1","0","0","0","0"
"1 HVC - APU\4a. RD estimations - Sisfoh 2013 - CCPP level - Population cut.do","regional specification archive","2d18e70c8d0a50bf842ee584429618deac8f49c9e240b698dc55640db9077e16","30535","802","518","2","0","0","0","12","0","0","46","0","1","0","0","0","0"
"1 HVC - APU\4b. RD estimations - Sisfoh 2013 - CCPP level - Poverty 2007.do","regional specification archive","b1f06abc9ceed730074923c0c56076fdc48475640d48c15dc9b4b75aa6d85c41","30221","799","516","2","0","0","0","12","0","0","46","0","1","0","0","0","0"
"1 HVC - APU\5. RD estimations - Sisfoh 2013 - Household level.do","regional specification archive","4707de9de26371600f063a6daf14765ec2bdd52d48369921c2e672f46bb8253f","17749","477","308","1","0","0","0","8","0","0","29","0","1","0","0","0","0"
"1 HVC - APU\5a. RD estimations - Sisfoh 2013 - Household level - Population cut.do","regional specification archive","7046255205d5cd0568fadab092a145de7b57ab85e1174bfc8e1b3f367e77710a","29105","776","312","2","0","0","0","6","0","0","28","0","1","0","0","0","0"
"1 HVC - APU\5b. RD estimations - Sisfoh 2013 - Household level - Poverty 2007.do","regional specification archive","5537db5e1cc8d144e2b1ca00e9cfb30e212e0d07813fd43c47280f36e788e279","29079","773","312","2","0","0","0","6","0","0","28","0","1","0","0","0","0"
"1 HVC - APU\6. RD estimations - Sisfoh 2013 - Individual level.do","regional specification archive","fcd6ba14389729652920b936d6a2c710fb4a1d9f68b0a1a3a29be67ca3781a32","15024","421","256","1","0","0","0","7","0","0","27","0","1","0","0","0","0"
"1 HVC - APU\6a. RD estimations - Sisfoh 2013 - Individual level - Sex.do","regional specification archive","c9be249906755e4f2754f59b9f958890d2aaea31204766cc99d3ce5c601ef780","23039","651","377","2","0","0","0","10","0","0","40","0","1","0","0","0","0"
"1 HVC - APU\6b. RD estimations - Sisfoh 2013 - Individual level - Population cut.do","regional specification archive","37e62988716823e6c788671ccb9793f516f5420e0bfe4c74223a192a96806920","25971","727","264","2","0","0","0","6","0","0","28","0","1","0","0","0","0"
"1 HVC - APU\6c. RD estimations - Sisfoh 2013 - Individual level - Poverty 2007.do","regional specification archive","97ade957a3409fa0daa68fd232f69ad97ecd12f7518245852d7e3edfa3ff337a","25944","726","262","2","0","0","0","6","0","0","28","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\3. RD estimations - District level.do","regional specification archive","989a274775381b5453a5b198b8c481692de2f6542163514773574f3fa723d309","13044","334","258","2","0","0","0","0","0","0","24","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\4. RD estimations - Sisfoh 2013 - CCPP level.do","regional specification archive","1ede0f66b3363f6f298aadd8c6c0ba3fb8f7c19328f08acef55a187e1b7c0ee4","27761","693","528","3","0","0","0","10","0","0","42","0","0","0","0","0","0"
"2 HVC - APU - LC - HCY\4a. RD estimations - Sisfoh 2013 - CCPP level - Population.do","regional specification archive","ac3d458714023a463120d3da7741d71601492f7a3b45b9f6ccb4255280cc5915","25023","607","479","2","0","0","0","10","0","0","38","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\4b. RD estimations - Sisfoh 2013 - CCPP level - Poverty.do","regional specification archive","c4a0da3fb58fb859361c3a67a74dfd7904f3c1c1f96635b16462d7b14f6e038d","25233","613","482","2","0","0","0","10","0","0","38","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\5. RD estimations - Sisfoh 2013 - Household level.do","regional specification archive","c4a52e642ae58e8e4c89d286f360997375b3f421adc5c78554a7e40b899b42f3","13724","358","259","1","0","0","0","5","0","0","23","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\5a. RD estimations - Sisfoh 2013 - Household level - Population.do","regional specification archive","1d4375a3c20a9c2d96fc5ee889f866406be3be40f1b5c4bda89f2e01b60abada","22002","568","438","2","0","0","0","10","0","0","38","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\5b. RD estimations - Sisfoh 2013 - Household level - Poverty.do","regional specification archive","494fc27974bc19d3496d6782c12c7c4a8d03a476f5d9407ffcafbd38ebb93914","22265","571","441","3","0","0","0","10","0","0","38","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\6. RD estimations - Sisfoh 2013 - Individual level.do","regional specification archive","2091e5a5e582ccdde05f0172a49442175f06a40c72448767ec51b041282001cf","12702","345","237","1","0","0","0","5","0","0","23","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\6a. RD estimations - Sisfoh 2013 - Individual level - Sex interaction.do","regional specification archive","dc3afe81715a9b64e5ec5cf5ce0cb71a93342cca70188691e09341d555b4774e","19318","528","395","2","0","0","0","10","0","0","38","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\6b. RD estimations - Sisfoh 2013 - Individual level - Population.do","regional specification archive","9b340f7b1812b10ac215efa164848957bf781193eb29530cae34160e73c3185d","19589","532","397","2","0","0","0","10","0","0","38","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\6c. RD estimations - Sisfoh 2013 - Individual level - Poverty.do","regional specification archive","60c4d6810645cf357828301167ca9e076bacc3fe0b8fda89f0cbd49aa8772924","19577","532","397","2","0","0","0","10","0","0","38","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\6d. RD estimations - Sisfoh 2013 - Individual level - No Caps.do","regional specification archive","91f20c2902113b7468d1dbe62ddae5617ff97750f494be9f3b6e129b6c14f82e","12965","348","237","1","0","0","0","5","0","0","23","0","0","0","0","0","0"
"2 HVC - APU - LC - HCY\7. RD estimations - Censo 2017 - CCPP level.do","regional specification archive","c3683cce4961bbe923c97c9991ce15821841a2423cd59ef626421e6ffd0c62bb","31317","740","582","1","0","0","0","10","0","0","46","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\7a. RD estimations - Censo 2017 - CCPP level - Population.do","regional specification archive","d93f543fff5a410464c81ee1e0b1e123fa71fd95394c4c4d04fcfa0243bdb88f","59867","1412","1157","4","0","0","0","20","0","0","92","0","1","0","0","0","0"
"2 HVC - APU - LC - HCY\8. RD estimations - Censo 2017 - Household level.do","regional specification archive","d5c3613465c234f3fa6076e14d9989b9af2a5b8be2678d1ca4df19a1e44d60ca","16154","404","291","1","0","0","0","5","0","0","23","0","1","0","0","0","0"
