output_id,relative_path,artifact_type,producing_script,input_snapshot,input_datasignature,unit_of_analysis,specification,stata_version,generation_date,stata_checksum,file_bytes,disclosure_status,selection_status
"rd_design_named_csv","output/tables/rd_design/rd_design_named_first_stages.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","named_candidate_first_stage_grid","Stata 19","29 Jul 2026","1494098133","485060","aggregate_internal_review","no_sample_selected"
"rd_design_named_xlsx","output/tables/rd_design/rd_design_named_first_stages.xlsx","workbook","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","named_candidate_first_stage_workbook","Stata 19","29 Jul 2026","2824756241","266520","aggregate_internal_review","no_sample_selected"
"rd_design_dynamic_csv","output/tables/rd_design/rd_design_dynamic_first_stages.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","dynamic_treatment_year_first_stages","Stata 19","29 Jul 2026","629024130","303111","aggregate_internal_review","no_sample_selected"
"rd_design_atlas_csv","output/tables/rd_design/rd_design_geographic_atlas.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","geographic_first_stage_heterogeneity_atlas","Stata 19","29 Jul 2026","2307094845","819498","aggregate_internal_review","no_sample_selected"
"rd_design_department_subsets_csv","output/tables/rd_design/rd_design_department_subsets.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","bounded_department_subset_first_stages","Stata 19","29 Jul 2026","2483583561","677480","aggregate_internal_review","no_sample_selected"
"rd_design_vraem_province_subsets_csv","output/tables/rd_design/rd_design_vraem_province_subsets.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","bounded_vraem_province_subset_first_stages","Stata 19","29 Jul 2026","1858078379","6081606","aggregate_internal_review","no_sample_selected"
"rd_design_support_sensitivity_csv","output/tables/rd_design/rd_design_support_sensitivity.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","named_candidate_full_support_sensitivity","Stata 19","29 Jul 2026","3255921385","314703","aggregate_internal_review","no_sample_selected"
"rd_design_cutoff_year_summary_csv","output/tables/rd_design/rd_design_cutoff_year_summary.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","all_cutoff_year_atlas_summary","Stata 19","29 Jul 2026","3653691251","19233","aggregate_internal_review","no_sample_selected"
"rd_design_cutoff_year_frontier_csv","output/tables/rd_design/rd_design_cutoff_year_frontier.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","all_cutoff_year_supported_frontier","Stata 19","29 Jul 2026","1337461015","854462","aggregate_internal_review","no_sample_selected"
"rd_design_tie_csv","output/tables/rd_design/rd_design_tie_audit.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","rounded_score_cutoff_audit","Stata 19","29 Jul 2026","3565571547","132","aggregate_internal_review","no_sample_selected"
"rd_design_accounting_csv","output/tables/rd_design/rd_design_candidate_accounting.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","geographic_candidate_accounting","Stata 19","29 Jul 2026","887640335","242723","aggregate_internal_review","no_sample_selected"
"rd_design_candidate_scorecard_csv","output/tables/rd_design/rd_design_candidate_scorecard.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","bc_candidate_horizon_scorecard","Stata 19","29 Jul 2026","2748040137","3494231","aggregate_internal_review","no_sample_selected"
"rd_design_candidate_scorecard_xlsx","output/tables/rd_design/rd_design_candidate_scorecard.xlsx","workbook","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","bc_candidate_horizon_scorecard_workbook","Stata 19","29 Jul 2026","3036777221","2751076","aggregate_internal_review","no_sample_selected"
"rd_design_covariate_continuity_csv","output/tables/rd_design/rd_design_covariate_continuity.csv","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","baseline_covariate_continuity_audit","Stata 19","29 Jul 2026","2576423272","99249","aggregate_internal_review","no_sample_selected"
"tab_rd_design_01","output/tables/rd_design/tab_rd_design_01_named_first_stages.tex","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","named_candidate_first_stage_summary","Stata 19","29 Jul 2026","943353294","3067","aggregate_internal_review","no_sample_selected"
"tab_rd_design_02","output/tables/rd_design/tab_rd_design_02_candidate_scorecard.tex","table","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","named_candidate_bc_scorecard","Stata 19","29 Jul 2026","2024032658","2270","aggregate_internal_review","no_sample_selected"
"fig_rd_design_01","output/figures/rd_design/fig_rd_design_01_first_stage_horizons.png","figure","code/stata/pipeline/03_validate_rd_design.do","06_community_registry_geospatial.dta","5712:206(25221):839102702:3049885492","aggregate RD first-stage specification","national_cutoff_horizon_first_stages","Stata 19","29 Jul 2026","2233430267","291021","aggregate_internal_review","no_sample_selected"
