row_order,characteristic,selected_n,selected_mean,remaining_n,remaining_mean,standardized_difference
1,Victimization index,1162,.1400932874354561,4550,.1216834945054945,.0966154885139947
2,RUV category A or B (percent),1162,46.47160068846816,4550,44.24175824175824,.044849427586319
3,"Population, 2007",1031,348.7032007759457,3902,347.3313685289595,.0014229607342191
4,"Urban centro poblado, 2007 (percent)",1031,17.36178467507274,3902,14.65914915427986,.0752491879934138
5,"Baseline wellbeing score, 2007",1026,.3127783308141374,3895,.3254531360776179,-.0980332981210977
6,Altitude (meters),985,3193.556345177665,3034,2704.685893210284,.4403287402061346
7,Distance to corresponding district capital (km),985,6.653698251432174,3722,10.33882233396126,-.3147696596876553
8,Linked to Census 2007 (percent),1162,88.7263339070568,4550,85.75824175824177,.0865224088333726
9,Linked to spatial source (percent),1162,84.76764199655766,4550,81.80219780219781,.0779040986186887
10,Collective reparations by 2012 (percent),1162,35.71428571428572,4550,28.52747252747252,.1571308619643652
11,Collective reparations by 2016 (percent),1162,44.83648881239242,4550,36.04395604395604,.1817536539687405
12,Collective reparations by 2023 (percent),1162,79.08777969018934,4550,72.57142857142857,.1486093505528804
