year,victimization_level_source,category_communities,cumulative_treated,cumulative_treatment_share,newly_treated,new_cohort_share,annual_newly_treated
2007,A,1284,153,11.915888,153,58.84615384615385,260
2007,B,1269,65,5.1221433,65,25,260
2007,C,1310,37,2.8244276,37,14.23076923076923,260
2007,D,1127,5,.44365573,5,1.923076923076923,260
2007,E,722,0,0,0,0,260
2008,A,1284,317,24.688473,164,46.45892351274787,353
2008,B,1269,158,12.450748,93,26.34560906515581,353
2008,C,1310,105,8.0152664,68,19.26345609065156,353
2008,D,1127,32,2.8393967,27,7.64872521246459,353
2008,E,722,1,.13850415,1,.28328611898017,353
2009,A,1284,498,38.785046,181,37.09016393442623,488
2009,B,1269,302,23.798265,144,29.50819672131147,488
2009,C,1310,201,15.343512,96,19.67213114754098,488
2009,D,1127,94,8.3407278,62,12.70491803278689,488
2009,E,722,6,.83102489,5,1.024590163934426,488
2010,A,1284,580,45.171337,82,31.66023166023166,259
2010,B,1269,372,29.314419,70,27.02702702702703,259
2010,C,1310,275,20.992367,74,28.57142857142857,259
2010,D,1127,123,10.913931,29,11.1969111969112,259
2010,E,722,10,1.3850415,4,1.544401544401544,259
2011,A,1284,623,48.520248,43,26.06060606060606,165
2011,B,1269,431,33.963753,59,35.75757575757576,165
2011,C,1310,318,24.274809,43,26.06060606060606,165
2011,D,1127,139,12.33363,16,9.696969696969697,165
2011,E,722,14,1.9390581,4,2.424242424242424,165
2012,A,1284,703,54.750778,80,42.5531914893617,188
2012,B,1269,495,39.007092,64,34.04255319148936,188
2012,C,1310,351,26.793894,33,17.5531914893617,188
2012,D,1127,145,12.866015,6,3.191489361702128,188
2012,E,722,19,2.6315789,5,2.659574468085106,188
2013,A,1284,767,59.735203,64,54.70085470085471,117
2013,B,1269,533,42.001575,38,32.47863247863248,117
2013,C,1310,359,27.404579,8,6.837606837606838,117
2013,D,1127,150,13.309671,5,4.273504273504273,117
2013,E,722,21,2.9085872,2,1.70940170940171,117
2014,A,1284,844,65.732086,77,68.14159292035397,113
2014,B,1269,563,44.365643,30,26.54867256637169,113
2014,C,1310,362,27.633587,3,2.654867256637168,113
2014,D,1127,153,13.575866,3,2.654867256637168,113
2014,E,722,21,2.9085872,0,0,113
2015,A,1284,916,71.339569,72,77.41935483870968,93
2015,B,1269,584,46.020489,21,22.58064516129032,93
2015,C,1310,362,27.633587,0,0,93
2015,D,1127,153,13.575866,0,0,93
2015,E,722,21,2.9085872,0,0,93
2016,A,1284,1007,78.426788,91,72.8,125
2016,B,1269,617,48.62096,33,26.4,125
2016,C,1310,362,27.633587,0,0,125
2016,D,1127,154,13.664596,1,.8,125
2016,E,722,21,2.9085872,0,0,125
2017,A,1284,1094,85.202492,87,35.08064516129033,248
2017,B,1269,775,61.071712,158,63.70967741935484,248
2017,C,1310,365,27.862597,3,1.209677419354839,248
2017,D,1127,154,13.664596,0,0,248
2017,E,722,21,2.9085872,0,0,248
2018,A,1284,1113,86.682243,19,13.38028169014084,142
2018,B,1269,869,68.479118,94,66.19718309859155,142
2018,C,1310,394,30.076336,29,20.42253521126761,142
2018,D,1127,154,13.664596,0,0,142
2018,E,722,21,2.9085872,0,0,142
2019,A,1284,1135,88.395638,22,4.127579737335835,533
2019,B,1269,997,78.565804,128,24.01500938086304,533
2019,C,1310,752,57.404579,358,67.16697936210132,533
2019,D,1127,179,15.882875,25,4.690431519699812,533
2019,E,722,21,2.9085872,0,0,533
2020,A,1284,1144,89.096573,9,3.082191780821918,292
2020,B,1269,1026,80.851067,29,9.931506849315069,292
2020,C,1310,904,69.007637,152,52.05479452054794,292
2020,D,1127,281,24.933451,102,34.93150684931507,292
2020,E,722,21,2.9085872,0,0,292
2021,A,1284,1150,89.563866,6,4.958677685950414,121
2021,B,1269,1034,81.481483,8,6.611570247933884,121
2021,C,1310,963,73.511452,59,48.7603305785124,121
2021,D,1127,327,29.015085,46,38.01652892561984,121
2021,E,722,23,3.1855955,2,1.652892561983471,121
2022,A,1284,1168,90.965729,18,3.237410071942446,556
2022,B,1269,1074,84.633568,40,7.194244604316546,556
2022,C,1310,1071,81.75573,108,19.42446043165468,556
2022,D,1127,621,55.102039,294,52.87769784172662,556
2022,E,722,119,16.481995,96,17.26618705035971,556
2023,A,1284,1172,91.27726,4,2.380952380952381,168
2023,B,1269,1091,85.973206,17,10.11904761904762,168
2023,C,1310,1101,84.045807,30,17.85714285714286,168
2023,D,1127,716,63.531502,95,56.54761904761904,168
2023,E,722,141,19.529087,22,13.0952380952381,168
