grid_scope,cutoff,treatment_year,frontier_rank,candidate_id,candidate_label,subset_size,candidate_n,effective_n,clusters_left,clusters_right,tau_cl,tau_bc,se_rb,p_rb,ci_left,ci_right,robust_wald,candidate_type,team_review_eligible,treatment_var,tie_rule,support_rule,specification,analysis_n,treated_n,untreated_n,n_left,n_right,treated_left,untreated_left,treated_right,untreated_right,unique_left,unique_right,sign_conflicts,rounding_band_n,support_ok,attempted,estimation_rc,h_left,h_right,b_left,b_right,effective_left,effective_right,estimate_success
broad_atlas,ab,2007,1,dept_pair_05_07,Departments: CUSCO + HUANUCO,2,1004,113,55,49,.0556606839665259,.0784244398917223,.1223479804169402,.5215259517701666,-.1613731953066923,.3182220750901367,.4108745500439162,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,384,31,353,190,194,15,175,16,178,170,185,0,1,1,1,0,.0435588515728054,.0435588515728054,.0640326872889311,.0640326872889311,61,52,1
broad_atlas,ab,2007,2,dept_pair_07_15,Departments: HUANUCO + UCAYALI,2,1068,92,50,41,.058750209422501,.0734864430956016,.1214431396977138,.5451059932066668,-.164537736881384,.3115106230725871,.3661579609571516,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,367,26,341,198,169,12,186,14,155,177,161,0,0,1,1,0,.0375455908972082,.0375455908972082,.0549146308111699,.0549146308111699,50,42,1
broad_atlas,ab,2007,3,dept_pair_04_07,Departments: CAJAMARCA + HUANUCO,2,948,81,45,38,.0616804831940355,.0793292165938448,.131487787972521,.5462958084682802,-.1783821122391352,.3370405454268248,.3639950623583007,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,309,26,283,153,156,12,141,14,142,139,150,0,0,1,1,0,.0407607014537186,.0407607014537186,.0596562656676518,.0596562656676518,42,39,1
broad_atlas,ab,2007,4,dept_pair_02_07,Departments: APURIMAC + HUANUCO,2,1344,170,94,92,.0577036952498936,.0737948432025339,.1231559097782751,.5490404861399678,-.1675863044461496,.3151759908512173,.3590389085445224,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,612,55,557,273,339,19,254,36,303,232,313,0,1,1,1,0,.0439524641955817,.0439524641955817,.0618872471052288,.0618872471052288,103,67,1
broad_atlas,ab,2007,5,dept_pair_07_12,Departments: HUANUCO + PIURA,2,934,81,45,37,.0588626120823765,.0761520870155241,.1280848631211672,.5521483216130674,-.1748896316667061,.3271938056977542,.3534825693843603,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,314,26,288,157,157,12,145,14,143,142,151,0,0,1,1,0,.0403018619873843,.0403018619873843,.0595719687510804,.0595719687510804,42,39,1
broad_atlas,ab,2007,6,dept_07,Department: HUANUCO,1,858,87,44,36,.0601931791812797,.0773348870189276,.1303561062920952,.5530080703573423,-.178158386478454,.3328281605163093,.3519558201639945,atlas_department,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,306,26,280,152,154,12,140,14,140,138,148,0,0,1,1,0,.0429930557547455,.0429930557547455,.061790856348363,.061790856348363,45,42,1
broad_atlas,ab,2007,7,dept_pair_07_09,Departments: HUANUCO + LA LIBERTAD,2,876,87,44,36,.0601931791812797,.0773348870189276,.1303561062920952,.5530080703573423,-.178158386478454,.3328281605163093,.3519558201639945,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,306,26,280,152,154,12,140,14,140,138,148,0,0,1,1,0,.0429930557547455,.0429930557547455,.061790856348363,.061790856348363,45,42,1
broad_atlas,ab,2007,8,dept_pair_07_13,Departments: HUANUCO + PUNO,2,1084,116,67,57,.0452595000012747,.0554874792493771,.0935985793971145,.5532989798846788,-.12796236537308,.2389373238718341,.3514402318527426,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,423,28,395,206,217,12,194,16,201,179,209,0,0,1,1,0,.0451759180224014,.0451759180224014,.0614166938129037,.0614166938129037,67,49,1
broad_atlas,ab,2007,9,dept_pair_01_07,Departments: ANCASH + HUANUCO,2,923,81,48,36,.060809018916762,.0776179582247207,.1310563390589384,.5536840023401092,-.1792477462764686,.3344836627259099,.3507586292133949,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,310,26,284,156,154,12,144,14,140,142,148,0,0,1,1,0,.0421744500769516,.0421744500769516,.0608168540254873,.0608168540254873,43,38,1
broad_atlas,ab,2007,10,dept_pair_07_10,Departments: HUANUCO + LIMA,2,910,89,47,38,.0579529310854766,.0746872419218361,.1281943618497878,.5601562671908566,-.1765690903248435,.3259435741685157,.3394337282491075,atlas_department_pair,0,treat_07,drop_rounding_band,adjacent_categories,p1_mserd,312,26,286,155,157,12,143,14,143,141,151,0,0,1,1,0,.0439736348050744,.0439736348050744,.0633181857222488,.0633181857222488,47,42,1
