grid_scope,cutoff,treatment_year,candidate_cells,support_cells,successful_cells,positive_ci_cells,strong_positive_cells,median_tau,max_tau,max_robust_wald,max_effective_n
broad_atlas,ab,2007,230,93,93,0,0,-.0504994042087205,.1233219299802487,3.920481635197309,352
broad_atlas,ab,2008,230,117,117,0,0,.0493135022461754,.4720544496624889,4.693596466679225,795
broad_atlas,ab,2009,230,117,117,0,0,.0633109339158567,.4096233666109284,11.9789812532584,592
broad_atlas,ab,2010,230,117,117,0,0,-.0634950044307899,.3961343226886574,14.29007601114601,383
broad_atlas,ab,2011,230,117,117,1,0,-.0904223552773987,.4751998814393568,14.29008023062924,466
broad_atlas,ab,2012,230,117,117,0,0,-.0667758489052163,.3135656805485633,19.98410277510784,395
broad_atlas,ab,2013,230,117,117,0,0,-.2101190499575947,.204513036422767,37.35118022495647,352
broad_atlas,ab,2014,230,117,117,0,0,-.397342089494569,.1933235152096974,33.00838235655102,288
broad_atlas,ab,2015,230,117,117,0,0,-.3054785782275051,.1933235152096974,8.83572717694666,317
broad_atlas,ab,2016,230,117,117,1,0,-.2631847663583455,.3257697296429376,9.132097662980225,288
broad_atlas,ab,2017,230,117,115,0,0,-.1405642323051899,.3055500733218166,7.049680617357534,427
broad_atlas,ab,2018,230,117,117,0,0,-.0671970327320448,.27058299650379,7.105650614321435,681
broad_atlas,ab,2019,230,117,117,8,0,-.0365600895876512,.3472381134073552,16.55862815503508,710
broad_atlas,ab,2020,230,112,112,9,0,-.0130296812054498,.4949458105877595,18.35262483945903,570
broad_atlas,ab,2021,230,112,112,1,0,-.0301823988713706,.4949458105877595,18.07332670643224,562
broad_atlas,ab,2022,230,111,111,8,0,.0015635903783602,.4218943849949084,15.05288188370133,611
broad_atlas,ab,2023,230,111,111,4,0,.0006730588393029,.4261708546419054,18.62379439610011,639
broad_atlas,bc,2007,230,94,94,0,0,.0045903747475038,.1038747027682466,2.892708365562287,605
broad_atlas,bc,2008,230,113,113,1,0,.0020541373141923,.4645213712359195,5.254634271694103,551
broad_atlas,bc,2009,230,113,113,19,0,.0441256555900175,1.256146985763533,15.09104778178398,502
broad_atlas,bc,2010,230,115,115,20,4,.0129524211174902,1.492273816665602,28.54289363217451,722
broad_atlas,bc,2011,230,115,115,20,0,.0162565352084224,1.294578586849629,16.4259088020607,690
broad_atlas,bc,2012,230,115,115,20,6,.0508207192071924,1.284541278293091,44.48620520776744,707
broad_atlas,bc,2013,230,115,115,22,9,.0538639562714958,1.237099580443502,55.06342622164578,841
broad_atlas,bc,2014,230,115,115,22,9,.0878403690019256,1.315651277962124,55.06342622164578,836
broad_atlas,bc,2015,230,115,115,24,9,.1340418207158884,1.315651277962124,55.01089129136349,849
