grid_scope,candidate_id,candidate_label,candidate_type,team_review_eligible,subset_size,cutoff,treatment_var,treatment_year,tie_rule,support_rule,specification,candidate_n,analysis_n,treated_n,untreated_n,n_left,n_right,treated_left,untreated_left,treated_right,untreated_right,unique_left,unique_right,clusters_left,clusters_right,sign_conflicts,rounding_band_n,support_ok,attempted,estimation_rc,tau_cl,tau_bc,se_rb,p_rb,ci_left,ci_right,h_left,h_right,b_left,b_right,effective_left,effective_right
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,drop_rounding_band,adjacent_categories,p1_cerrd,4614,2186,1099,1087,1067,1119,450,617,649,470,601,918,282,267,0,10,1,1,0,-.0632233135774702,-.0868333008016831,.1613729756553818,.5905144182515563,-.4031185211642902,.2294519195609241,.0176190409971057,.0176190409971057,.0390288810827268,.0390288810827268,152,96
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,drop_rounding_band,adjacent_categories,p1_mserd,4614,2186,1099,1087,1067,1119,450,617,649,470,601,918,282,267,0,10,1,1,0,-.0560785844950247,-.1005807095518217,.1495590024925839,.5012557366891244,-.3937109680010222,.1925495488973787,.0241524328498825,.0241524328498825,.0390288810827268,.0390288810827268,214,134
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,drop_rounding_band,adjacent_categories,p2_mserd,4614,2186,1099,1087,1067,1119,450,617,649,470,601,918,282,267,0,10,1,1,0,-.1028120159782406,-.1138772550987963,.1937241934309361,.5566451493261184,-.493569697157502,.2658151869599094,.0314107969563677,.0314107969563677,.0423539449912849,.0423539449912849,274,169
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,drop_sign_conflicts,adjacent_categories,p1_cerrd,4614,2196,1107,1089,1076,1120,457,619,650,470,602,919,283,267,0,10,1,1,0,-.0994788953582986,-.1184553418913501,.1510552672939149,.4329313047591229,-.4145182254624943,.1776075416797941,.0159509868061648,.0159509868061648,.0352161550784043,.0352161550784043,144,90
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,drop_sign_conflicts,adjacent_categories,p1_mserd,4614,2196,1107,1089,1076,1120,457,619,650,470,602,919,283,267,0,10,1,1,0,-.1055090968144147,-.1448554150274551,.1438674648228594,.3139986509693878,-.4268304646273428,.1371196345724325,.0218678300626982,.0218678300626982,.0352161550784043,.0352161550784043,196,123
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,drop_sign_conflicts,adjacent_categories,p2_mserd,4614,2196,1107,1089,1076,1120,457,619,650,470,602,919,283,267,0,10,1,1,0,-.1432612611657915,-.1431942195346747,.171262415394534,.4030930185840288,-.4788623856132994,.1924739465439499,.0307084090532387,.0307084090532387,.0394957544655849,.0394957544655849,279,168
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,score_as_recorded,adjacent_categories,p1_cerrd,4614,2196,1107,1089,1076,1120,457,619,650,470,602,919,283,267,0,10,1,1,0,-.0994788953582986,-.1184553418913501,.1510552672939149,.4329313047591229,-.4145182254624943,.1776075416797941,.0159509868061648,.0159509868061648,.0352161550784043,.0352161550784043,144,90
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,score_as_recorded,adjacent_categories,p1_mserd,4614,2196,1107,1089,1076,1120,457,619,650,470,602,919,283,267,0,10,1,1,0,-.1055090968144147,-.1448554150274551,.1438674648228594,.3139986509693878,-.4268304646273428,.1371196345724325,.0218678300626982,.0218678300626982,.0352161550784043,.0352161550784043,196,123
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_12,2012,score_as_recorded,adjacent_categories,p2_mserd,4614,2196,1107,1089,1076,1120,457,619,650,470,602,919,283,267,0,10,1,1,0,-.1432612611657915,-.1431942195346747,.171262415394534,.4030930185840288,-.4788623856132994,.1924739465439499,.0307084090532387,.0307084090532387,.0394957544655849,.0394957544655849,279,168
named,conflict_belt7_departments,Combined conflict and VRAEM department belt,derived_official_envelope,1,0,ab,treat_16,2016,drop_rounding_band,adjacent_categories,p1_cerrd,4614,2186,1443,743,1067,1119,554,513,889,230,601,918,282,267,0,10,1,1,0,-.2455111266538101,-.2747899101180575,.1581159332356356,.0822281796236115,-.5846914446418429,.0351116244057278,.0131066038633833,.0131066038633833,.0323436856351674,.0323436856351674,108,80
