grid_scope,candidate_id,candidate_label,candidate_type,team_review_eligible,subset_size,cutoff,treatment_var,treatment_year,tie_rule,support_rule,specification,candidate_n,analysis_n,treated_n,untreated_n,n_left,n_right,treated_left,untreated_left,treated_right,untreated_right,unique_left,unique_right,clusters_left,clusters_right,sign_conflicts,rounding_band_n,support_ok,attempted,estimation_rc,tau_cl,tau_bc,se_rb,p_rb,ci_left,ci_right,h_left,h_right,b_left,b_right,effective_left,effective_right
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,ab,treat_12,2012,drop_rounding_band,adjacent_categories,p1_mserd,93,53,22,31,29,24,12,17,10,14,28,24,10,10,0,0,1,1,0,-.7334429542295274,-.8959200885635852,1.013791014582722,.3768406207228612,-2.882913964996041,1.09107378786887,.0269161473742877,.0269161473742877,.0471497059857756,.0471497059857756,8,5
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,ab,treat_16,2016,drop_rounding_band,adjacent_categories,p1_mserd,93,53,25,28,29,24,12,17,13,11,28,24,10,10,0,0,1,1,0,-.8440084707020745,-.9913967450518121,1.050090565881016,.3451155121418325,-3.049536434683888,1.066742944580263,.0262776484754123,.0262776484754123,.0473325659746556,.0473325659746556,7,5
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,ab,treat_23,2023,drop_rounding_band,adjacent_categories,p1_mserd,93,53,51,2,29,24,29,0,22,2,28,24,10,10,0,0,0,0,,,,,,,,,,,,,
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,bc,treat_12,2012,drop_rounding_band,adjacent_categories,p1_mserd,93,54,21,33,25,29,9,16,12,17,23,28,8,10,0,0,0,0,,,,,,,,,,,,,
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,bc,treat_16,2016,drop_rounding_band,adjacent_categories,p1_mserd,93,54,21,33,25,29,9,16,12,17,23,28,8,10,0,0,0,0,,,,,,,,,,,,,
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,bc,treat_23,2023,drop_rounding_band,adjacent_categories,p1_mserd,93,54,48,6,25,29,19,6,29,0,23,28,8,10,0,0,0,0,,,,,,,,,,,,,
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,cd,treat_12,2012,drop_rounding_band,adjacent_categories,p1_mserd,93,37,16,21,12,25,7,5,9,16,10,23,7,8,0,0,0,0,,,,,,,,,,,,,
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,cd,treat_16,2016,drop_rounding_band,adjacent_categories,p1_mserd,93,37,16,21,12,25,7,5,9,16,10,23,7,8,0,0,0,0,,,,,,,,,,,,,
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,cd,treat_23,2023,drop_rounding_band,adjacent_categories,p1_mserd,93,37,29,8,12,25,10,2,19,6,10,23,7,8,0,0,0,0,,,,,,,,,,,,,
prov_subset,vraem_prov_subset_0001,VRAEM provinces: APURIMAC / ANDAHUAYLAS,bounded_vraem_province_subset,0,1,de,treat_12,2012,drop_rounding_band,adjacent_categories,p1_mserd,93,15,8,7,3,12,1,2,7,5,2,10,3,7,0,0,0,0,,,,,,,,,,,,,
