outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,gate_pass,gate_status
P01,Log rostered population,1,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,.15741785,.13622043,.24784026,-.1095693,.42440498,0,underidentified
P01,Log rostered population,1,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,-.093038201,.18144771,.60812283,-.4486692,.26259279,0,underidentified
P01,Log rostered population,1,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,-.3239578,.27369544,.23655425,-.86039102,.2124754,0,underidentified
P02,Log rostered households,2,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,.0963028,.19723217,.62535769,-.29026514,.48287073,0,underidentified
P02,Log rostered households,2,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,-.072659917,.27434137,.79112333,-.61035913,.46503928,0,underidentified
P02,Log rostered households,2,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,-.22844297,.40617317,.57382482,-1.0245278,.56764185,0,underidentified
P03,Residents age 15-29,3,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,-28.769726,15.769125,.068086512,-59.676643,2.137192,0,underidentified
P03,Residents age 15-29,3,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,-1.7082916,17.466553,.92208827,-35.942104,32.52552,0,underidentified
P03,Residents age 15-29,3,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,23.242258,30.969345,.45295823,-37.456543,83.941055,0,underidentified
P04,Residents in any social program,4,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,9.0128784,16.591419,.58697468,-23.505705,41.531464,0,underidentified
P04,Residents in any social program,4,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,-1.9665219,22.587469,.9306218,-46.237148,42.304104,0,underidentified
P04,Residents in any social program,4,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,-12.089492,33.505913,.71823651,-77.759872,53.580891,0,underidentified
P05,Core wellbeing proxy,5,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,-6.5554261,9.4200182,.48648909,-25.018322,11.90747,0,underidentified
P05,Core wellbeing proxy,5,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,-4.7505183,12.653847,.70734745,-29.551603,20.050566,0,underidentified
P05,Core wellbeing proxy,5,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,-3.0863998,20.394426,.87971109,-43.058739,36.885941,0,underidentified
P06,Households with any unmet basic need,6,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,2.7934024,14.030844,.84219223,-24.706547,30.293352,0,underidentified
P06,Households with any unmet basic need,6,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,22.143356,30.304338,.46496293,-37.252056,81.538773,0,underidentified
P06,Households with any unmet basic need,6,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,39.983944,50.630985,.42969543,-59.250961,139.21886,0,underidentified
P07,Labor-force participation,7,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,7.9288602,8.1421461,.33015352,-8.0294533,23.887173,0,underidentified
P07,Labor-force participation,7,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,21.696911,16.900631,.19921438,-11.427716,54.821537,0,underidentified
P07,Labor-force participation,7,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,34.391006,27.858624,.21702284,-20.21089,88.992905,0,underidentified
P08,Secondary education or higher,8,M01,Log baseline CCPP population,primary,P25,4.553876891600541,-.59157062,-15.561881,12.852272,.22596163,-40.751869,9.628109,0,underidentified
P08,Secondary education or higher,8,M01,Log baseline CCPP population,primary,P50,5.159055299214529,-.0041603837,-9.358305,17.527994,.59340644,-43.712543,24.995932,0,underidentified
P08,Secondary education or higher,8,M01,Log baseline CCPP population,primary,P75,5.717027701406222,.53742981,-3.6386297,27.737717,.89563304,-58.003555,50.726295,0,underidentified
P01,Log rostered population,1,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,1.1218514,1.8193343,.53748047,-2.4439783,4.6876812,0,weak_interaction_instruments
P01,Log rostered population,1,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,1.0093496,1.2983943,.43693286,-1.5354565,3.5541558,0,weak_interaction_instruments
P01,Log rostered population,1,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,.88435227,.87235624,.31070143,-.82543451,2.5941391,0,weak_interaction_instruments
P02,Log rostered households,2,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,1.6812248,1.5906512,.2905384,-1.4363941,4.7988439,0,weak_interaction_instruments
P02,Log rostered households,2,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,1.2261996,1.1268858,.27653718,-.98245597,3.4348552,0,weak_interaction_instruments
P02,Log rostered households,2,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,.72063476,.73240507,.32515034,-.71485281,2.1561222,0,weak_interaction_instruments
P03,Residents age 15-29,3,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,-33.47316,26.939869,.21404706,-86.27433,19.328014,0,weak_interaction_instruments
P03,Residents age 15-29,3,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,-30.732168,19.957747,.12359408,-69.848633,8.3842945,0,weak_interaction_instruments
P03,Residents age 15-29,3,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,-27.686735,15.000389,.064930759,-57.086956,1.7134864,0,weak_interaction_instruments
P04,Residents in any social program,4,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,-19.610584,30.642302,.52218294,-79.668396,40.447224,0,weak_interaction_instruments
P04,Residents in any social program,4,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,-5.18328,21.830914,.8123244,-47.971085,37.604527,0,weak_interaction_instruments
P04,Residents in any social program,4,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,10.846467,16.459656,.50991315,-21.413864,43.106796,0,weak_interaction_instruments
P05,Core wellbeing proxy,5,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,.81995517,16.706091,.96085459,-31.923382,33.563293,0,weak_interaction_instruments
P05,Core wellbeing proxy,5,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,-2.1092806,12.450451,.86547101,-26.511717,22.293156,0,weak_interaction_instruments
P05,Core wellbeing proxy,5,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,-5.3638668,8.972784,.54997814,-22.950201,12.222467,0,weak_interaction_instruments
P06,Households with any unmet basic need,6,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,32.100204,63.838463,.61508036,-93.020882,157.2213,0,weak_interaction_instruments
P06,Households with any unmet basic need,6,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,22.905056,42.205631,.58733541,-59.816463,105.62657,0,weak_interaction_instruments
P06,Households with any unmet basic need,6,S01,Baseline CCPP deprivation,secondary,P75,.766946150212565,.71164012,12.688602,21.127766,.54812956,-28.721058,54.098263,0,weak_interaction_instruments
P07,Labor-force participation,7,S01,Baseline CCPP deprivation,secondary,P25,.6211890243902439,-.55887467,37.042206,35.441452,.29594618,-32.421764,106.50617,0,weak_interaction_instruments
P07,Labor-force participation,7,S01,Baseline CCPP deprivation,secondary,P50,.6902332144979204,.042959813,24.893591,24.066015,.30095494,-22.274933,72.062119,0,weak_interaction_instruments
