outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_tier,moderator_type,spec_id,estimator,estimand,h,n_left,n_right,min_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
P01,ln_sisfoh2013_population,Log rostered population,1,1,M01,Log baseline CCPP population,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-.34506384,.19424666,.075663559,-.72578031,.035652623,1.1692562,-.29511398,-.62071967,.03049171,1.6345944,7.8253927,4.0770297,4.0770297,.050686404,.31791368,0,underidentified,0,,
P01,ln_sisfoh2013_population,Log rostered population,1,1,M01,Log baseline CCPP population,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,-.4263733,.21679837,.049219947,-.85129029,-.0014563319,1.1517433,-.37019822,-.73913199,-.0012644588,.89259422,3.6688211,2.488028,2.488028,.099562041,.25031987,0,underidentified,0,.3937595784664154,
P01,ln_sisfoh2013_population,Log rostered population,1,1,M01,Log baseline CCPP population,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,.01,59,31,31,54,1,-.68864739,1.2918035,.59397137,-3.2205358,1.843241,1.1282032,-.61039305,-2.8545709,1.6337847,.10953294,.251344,.24637192,.24637192,.62404257,.66125244,0,underidentified,0,,
P01,ln_sisfoh2013_population,Log rostered population,1,1,M01,Log baseline CCPP population,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,.005,29,15,15,36,1,-.30899072,.75130284,.6808722,-1.7815173,1.1635358,1.3569142,-.22771576,-1.3129182,.85748667,.12108442,.32200494,.24611872,.24611872,.57791066,.81268626,0,underidentified,0,,
P01,ln_sisfoh2013_population,Log rostered population,1,1,M01,Log baseline CCPP population,primary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,-.1038171,.21481757,.62889671,-.5248518,.31721759,1.1517433,-.090139098,-.45570207,.27542385,,,,,,,1,assignment_hte_supported,0,1,
P02,ln_sisfoh2013_households,Log rostered households,2,1,M01,Log baseline CCPP population,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-.21844901,.18482108,.23722613,-.58069164,.14379366,1.0526391,-.20752507,-.55165315,.136603,1.6345944,7.8253927,4.0770297,4.0770297,.050686404,.44185206,0,underidentified,0,,
P02,ln_sisfoh2013_households,Log rostered households,2,1,M01,Log baseline CCPP population,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,-.28764006,.30313519,.34267971,-.88177413,.30649397,1.0373689,-.27727848,-.85001016,.29545319,.89259422,3.6688211,2.488028,2.488028,.099562041,.5662412,0,underidentified,0,1,
P02,ln_sisfoh2013_households,Log rostered households,2,1,M01,Log baseline CCPP population,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,.01,59,31,31,54,1,.010338069,.93331861,.9911623,-1.8189328,1.8396089,.9900676,.010441781,-1.8371804,1.8580639,.10953294,.251344,.24637192,.24637192,.62404257,.81488806,0,underidentified,0,,
P02,ln_sisfoh2013_households,Log rostered households,2,1,M01,Log baseline CCPP population,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,.005,29,15,15,36,1,.1889722,1.1108793,.86492324,-1.9883113,2.3662558,1.2017065,.15725321,-1.6545731,1.9690795,.12108442,.32200494,.24611872,.24611872,.57791066,.79709756,0,underidentified,0,,
P02,ln_sisfoh2013_households,Log rostered households,2,1,M01,Log baseline CCPP population,primary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,.085816219,.22013752,.69666225,-.3456454,.51727784,1.0373689,.082724877,-.33319429,.49864402,,,,,,,1,assignment_hte_supported,0,1,
P03,share_age_15_29_2013,Residents age 15-29,3,100,M01,Log baseline CCPP population,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,36.288639,22.436417,.10579218,-7.6859303,80.263206,13.763603,2.6365654,-.55842429,5.8315549,1.6345944,7.8253927,4.0770297,4.0770297,.050686404,.0014509901,0,underidentified,0,,
P03,share_age_15_29_2013,Residents age 15-29,3,100,M01,Log baseline CCPP population,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,46.069054,31.377455,.14204407,-15.429627,107.56774,13.53303,3.4041939,-1.1401458,7.9485335,.89259422,3.6688211,2.488028,2.488028,.099562041,.0038535497,0,underidentified,0,.9943084716796875,
P03,share_age_15_29_2013,Residents age 15-29,3,100,M01,Log baseline CCPP population,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,.01,59,31,31,54,1,107.93246,200.60925,.59056097,-285.25446,501.11938,12.362742,8.7304621,-23.073721,40.534645,.10953294,.251344,.24637192,.24637192,.62404257,.007893092,0,underidentified,0,,
P03,share_age_15_29_2013,Residents age 15-29,3,100,M01,Log baseline CCPP population,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,.005,29,15,15,36,1,108.38091,187.13666,.5624854,-258.40021,475.16202,16.069996,6.7443018,-16.079668,29.568272,.12108442,.32200494,.24611872,.24611872,.57791066,.0037028103,0,underidentified,0,,
P03,share_age_15_29_2013,Residents age 15-29,3,100,M01,Log baseline CCPP population,primary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,28.208231,8.7056189,.001194322,11.145532,45.270931,13.53303,2.084399,.82357997,3.3452179,,,,,,,1,assignment_hte_supported,0,.0095545761287212,
P04,share_any_program_2013,Residents in any social program,4,100,M01,Log baseline CCPP population,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-6.6139531,10.554061,.53087306,-27.299532,14.071626,13.993115,-.47265765,-1.9509259,1.0056106,1.6345944,7.8253927,4.0770297,4.0770297,.050686404,.63723123,0,underidentified,0,,
