outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
P01,Log 2017 CCPP population,1,M01,Log baseline CCPP population,1,primary,P25,4.559112541534189,-.60082537,-.27871975,.2431183,.25161448,-.75522286,.19778337,1.0796992,-.25814575,-.69947523,.18318376,1,pass
P01,Log 2017 CCPP population,1,M01,Log baseline CCPP population,1,primary,P50,5.126931347163167,-.0021593759,-.89533114,.39813775,.024525383,-1.6756668,-.11499552,1.0796992,-.82924128,-1.5519756,-.106507,1,pass
P01,Log 2017 CCPP population,1,M01,Log baseline CCPP population,1,primary,P75,5.58724865840025,.483165,-1.3952035,.58992571,.01802766,-2.5514367,-.23897037,1.0796992,-1.292215,-2.3630996,-.22133051,1,pass
P02,Log occupied dwellings in 2017,2,M01,Log baseline CCPP population,1,primary,P25,4.559112541534189,-.60082537,-.33456966,.26258162,.20260854,-.84922022,.18008088,.97195786,-.3442224,-.87372124,.18527643,1,pass
P02,Log occupied dwellings in 2017,2,M01,Log baseline CCPP population,1,primary,P50,5.126931347163167,-.0021593759,-.69726866,.34976253,.046201386,-1.3827907,-.011746708,.97195786,-.71738571,-1.4226857,-.012085615,1,pass
P02,Log occupied dwellings in 2017,2,M01,Log baseline CCPP population,1,primary,P75,5.58724865840025,.483165,-.99130023,.49308759,.044389527,-1.9577341,-.024866307,.97195786,-1.0199004,-2.0142171,-.025583729,1,pass
P03,Residents living in another CCPP,3,M01,Log baseline CCPP population,1,primary,P25,4.559112541534189,-.60082537,10.887972,7.282279,.13487986,-3.3850322,25.160976,18.468977,.58952767,-.18328208,1.3623374,1,pass
P03,Residents living in another CCPP,3,M01,Log baseline CCPP population,1,primary,P50,5.126931347163167,-.0021593759,21.660332,8.508193,.010902127,4.9845791,38.336082,18.468977,1.1727954,.2698893,2.0757015,1,pass
P03,Residents living in another CCPP,3,M01,Log baseline CCPP population,1,primary,P75,5.58724865840025,.483165,30.393229,13.094693,.020285005,4.7281017,56.058353,18.468977,1.6456368,.25600237,3.0352714,1,pass
P04,Residents age 15-29,4,M01,Log baseline CCPP population,1,primary,P25,4.559112541534189,-.60082537,-1.9701879,3.7182012,.59619749,-9.2577286,5.3173528,5.0588646,-.38945261,-1.8300012,1.0510961,1,pass
P04,Residents age 15-29,4,M01,Log baseline CCPP population,1,primary,P50,5.126931347163167,-.0021593759,-.90994191,4.46661,.83857161,-9.6643372,7.8444529,5.0588646,-.17987078,-1.9103767,1.5506351,1,pass
P04,Residents age 15-29,4,M01,Log baseline CCPP population,1,primary,P75,5.58724865840025,.483165,-.050425492,5.5899005,.9928025,-11.00643,10.905579,5.0588646,-.009967749,-2.1756718,2.1557364,1,pass
P05,Secondary education or higher,5,M01,Log baseline CCPP population,1,primary,P25,4.559112541534189,-.60082537,8.3039408,6.4353251,.19692276,-4.3090649,20.916945,13.052844,.63617861,-.33012462,1.6024818,1,pass
P05,Secondary education or higher,5,M01,Log baseline CCPP population,1,primary,P50,5.126931347163167,-.0021593759,3.6594956,6.3177795,.56242883,-8.7231245,16.042116,13.052844,.28036001,-.66829306,1.2290131,1,pass
P05,Secondary education or higher,5,M01,Log baseline CCPP population,1,primary,P75,5.58724865840025,.483165,-.10564627,7.5690513,.98886377,-14.940714,14.729422,13.052844,-.0080937371,-1.1446329,1.1284454,1,pass
