outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
P01,ln_population_2017,Log 2017 CCPP population,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_ccpp_cluster,ivreg2,fuzzy_late_interaction,community_equal,ccpp,.0075,38,21,38,21,21,21,59,1,-1.0299758,.47505665,.030150209,-1.9610697,-.098881826,1.0796992,-.95394689,-1.8163111,-.091582753,1.9931799,13.210852,8.7122087,8.7122087,.050580587,.0034940126,0,underidentified,0,,
P01,ln_population_2017,Log 2017 CCPP population,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,-1.2633661,.70334059,.072456911,-2.6418884,.11515618,1.0920489,-1.1568768,-2.4192033,.10544966,1.2010775,9.5948038,4.9322591,4.9322591,.092184164,.0045152218,0,underidentified,0,,
P01,ln_population_2017,Log 2017 CCPP population,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,-1.0299758,.45499682,.023592651,-1.9217532,-.13819835,1.0796992,-.95394689,-1.7798967,-.12799707,2.0448074,17.885714,11.775008,11.775008,.048898298,.0046770582,1,pass,0,.1887412071228027,
P01,ln_population_2017,Log 2017 CCPP population,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,community_equal,score_mass,.0075,38,21,38,21,21,21,45,1,-1.0299758,.42576805,.015558938,-1.8644658,-.1954857,1.0796992,-.95394689,-1.7268381,-.18105569,2.1834991,12.010482,10.05546,10.05546,.045953631,.0015080085,1,pass,0,,
P01,ln_population_2017,Log 2017 CCPP population,1,1,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.01,54,30,54,30,30,30,52,1,-1.5774052,1.7285111,.36146334,-4.9652247,1.8104143,1.1539795,-1.3669264,-4.3026972,1.5688444,.38793495,1.581338,.88724995,.88724995,.38095957,.050630238,0,underidentified,0,,
P01,ln_population_2017,Log 2017 CCPP population,1,1,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.005,26,15,26,15,15,15,35,1,-1.4648478,.92325759,.11260147,-3.2743993,.34470379,1.2540668,-1.1680779,-2.6110246,.27486876,.73288274,6.3870773,5.2099118,5.2099118,.27084309,.0076410724,0,underidentified,0,,
P01,ln_population_2017,Log 2017 CCPP population,1,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,community_equal,district,.0075,38,21,38,21,21,21,42,1,-1.2491779,.42254138,.0031130889,-2.0773439,-.4210121,1.0796992,-1.1569685,-1.9240024,-.38993463,,,,,,,0,secondary_assignment_supported,0,.0249047111719847,
P02,ln_dwellings_occupied_2017,Log occupied dwellings in 2017,2,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_ccpp_cluster,ivreg2,fuzzy_late_interaction,community_equal,ccpp,.0075,38,21,38,21,21,21,59,1,-.60584539,.43388176,.16261289,-1.456238,.24454725,.97195786,-.62332475,-1.4982523,.25160271,1.9931799,13.210852,8.7122087,8.7122087,.050580587,.31616867,0,underidentified,0,,
P02,ln_dwellings_occupied_2017,Log occupied dwellings in 2017,2,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,37,21,37,21,21,21,41,1,-.33769912,.38138023,.37590548,-1.0851907,.40979239,.98348963,-.34336826,-1.1034083,.41667178,1.2010775,9.5948038,4.9322591,4.9322591,.092184164,.47582173,0,underidentified,0,,
P02,ln_dwellings_occupied_2017,Log occupied dwellings in 2017,2,1,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,community_equal,district,.0075,38,21,38,21,21,21,42,1,-.60584539,.38387406,.1145105,-1.3582247,.14653397,.97195786,-.62332475,-1.3974111,.15076165,2.0448074,17.885714,11.775008,11.775008,.048898298,.33044648,1,pass,0,.8015734925866127,
