outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
H01,Female household members,1,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,9.7247791,4.4300723,.028151134,1.0419965,18.40756,30.435106,.31952503,.034236662,.6048134,0,underidentified
H01,Female household members,1,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,11.746085,4.8397722,.015224626,2.2603054,21.231865,30.435106,.38593867,.074266389,.69761097,0,underidentified
H01,Female household members,1,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,13.448228,6.6209655,.042238951,.4713743,26.425081,30.435106,.44186565,.015487848,.86824346,0,underidentified
H02,Household members age 15-29,2,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,2.524863,6.1201344,.67993617,-9.4703798,14.520106,27.181025,.09289065,-.34841883,.53420013,0,underidentified
H02,Household members age 15-29,2,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,13.112204,12.25702,.28472245,-10.911115,37.135521,27.181025,.48240286,-.40142399,1.3662297,0,underidentified
H02,Household members age 15-29,2,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,22.027807,18.701778,.23885816,-14.627006,58.682621,27.181025,.81041127,-.53813297,2.1589556,0,underidentified
H03,Members living in another CCPP,3,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,31.820072,24.934843,.20190996,-17.051321,80.691467,43.300259,.73487025,-.39379257,1.863533,0,underidentified
H03,Members living in another CCPP,3,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,71.833939,52.002041,.16716592,-30.088186,173.75606,43.300259,1.6589725,-.69487309,4.0128179,0,underidentified
H03,Members living in another CCPP,3,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,105.52963,79.197845,.18270214,-49.69529,260.75455,43.300259,2.4371593,-1.1476903,6.0220089,0,underidentified
H04,Members with secondary education or higher,4,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,5.9831581,10.385779,.56455338,-14.372595,26.338911,38.92606,.15370573,-.36922809,.67663956,0,underidentified
H04,Members with secondary education or higher,4,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,12.459929,14.046435,.37505054,-15.070579,39.990437,38.92606,.3200922,-.38715911,1.0273435,0,underidentified
H04,Members with secondary education or higher,4,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,17.914019,19.680361,.36269146,-20.658779,56.486816,38.92606,.46020633,-.53071845,1.4511311,0,underidentified
H05,Employed household members,5,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,-14.109995,9.3198814,.13003415,-32.376625,4.1566367,37.376129,-.37751353,-.86623806,.11121099,0,underidentified
H05,Employed household members,5,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,-7.0011892,14.378283,.62630934,-35.182106,21.179728,37.376129,-.18731712,-.94129878,.56666452,0,underidentified
H05,Employed household members,5,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,-1.0148611,20.048967,.959629,-40.310112,38.280392,37.376129,-.027152654,-1.0784988,1.0241935,0,underidentified
H06,Members with health insurance,6,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,-1.7254528,5.8566799,.76828969,-13.204334,9.7534294,28.941202,-.059619248,-.45624694,.33700842,0,underidentified
H06,Members with health insurance,6,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,-8.5024891,13.295637,.52250117,-34.561459,17.55648,28.941202,-.29378492,-1.1941956,.60662585,0,underidentified
H06,Members with health insurance,6,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,-14.209434,20.553402,.48935056,-54.493362,26.074495,28.941202,-.49097592,-1.882899,.90094721,0,underidentified
H07,Members reporting disability,7,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,-9.7984285,7.1644669,.17142405,-23.840527,4.2436686,34.304295,-.28563273,-.6949721,.12370663,0,underidentified
H07,Members reporting disability,7,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,-13.382332,10.195721,.18933666,-33.365578,6.600914,34.304295,-.39010662,-.97263563,.19242239,0,underidentified
H07,Members reporting disability,7,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,-16.400337,14.270971,.25046954,-44.37093,11.570251,34.304295,-.47808412,-1.2934512,.33728293,0,underidentified
H08,Core household wellbeing proxy,8,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,9.7427568,9.3568993,.29776523,-8.5964289,28.081944,20.74766,.46958342,-.41433245,1.3534993,0,underidentified
H08,Core household wellbeing proxy,8,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,15.605886,17.321569,.36761436,-18.343767,49.555542,20.74766,.75217575,-.88413668,2.3884883,0,underidentified
H08,Core household wellbeing proxy,8,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,20.54323,25.409313,.4188073,-29.258106,70.344566,20.74766,.99014688,-1.4101883,3.3904822,0,underidentified
H01,Female household members,1,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,7.3011169,5.4424725,.17975579,-3.3659334,17.968168,30.508633,.23931316,-.11032725,.58895355,1,pass
H01,Female household members,1,S01,Baseline CCPP deprivation,4,secondary,P50,.6989110804142009,.057092164,8.7120962,4.9260063,.076961957,-.9426986,18.366892,30.508633,.28556168,-.030899405,.60202277,1,pass
H01,Female household members,1,S01,Baseline CCPP deprivation,4,secondary,P75,.7718350634234405,.70722169,10.104033,5.477293,.065079339,-.63126487,20.839329,30.508633,.33118603,-.020691352,.68306339,1,pass
H02,Household members age 15-29,2,S01,Baseline CCPP deprivation,4,secondary,P25,.6249894110870154,-.60193187,2.6750338,14.935872,.85785818,-26.598738,31.948805,27.315329,.097931601,-.97376597,1.1696292,1,pass
