outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1708,874,37,22,874,22,59,1,6.085948,7.0071764,.38510385,-7.6478648,19.819761,30.648737,.19857092,-.2495328,.64667463,1.6313051,5.872468,4.5427341,4.5427341,.072401971,.00020865063,0,underidentified,0,,
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,1832,874,39,22,874,22,43,1,3.3325589,5.7419906,.56165576,-7.921536,14.586654,30.435106,.1094972,-.26027626,.47927067,1.1905969,4.1187067,4.0850639,4.0850639,.087539367,.10455463,0,underidentified,0,,
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,3.3325589,5.4924774,.54401708,-7.4324994,14.097617,30.435106,.1094972,-.2442081,.46320248,1.2277497,3.8401961,3.6923413,3.6923413,.085320666,.086928964,0,underidentified,0,1,
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,household_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,175.99036,3798.354,.96304458,-7268.6465,7620.6274,29.932434,5.8795872,-242.83513,254.5943,.0011261038,.0022546211,.0022702869,.0022546211,.96132863,.075433291,0,underidentified,0,,
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,1832,874,39,22,874,22,46,1,3.3325589,5.3114781,.53038007,-7.0777469,13.742865,30.435106,.1094972,-.23255205,.45154646,1.2562891,3.7162843,3.8937674,3.7162843,.087749392,.085371934,0,underidentified,0,,
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,2488,4277,55,31,2488,31,86,1,.38965917,13.073303,.97622198,-25.233543,26.012863,31.017618,.012562511,-.81352293,.83864796,.1615721,.41893357,.32867604,.32867604,.57437903,.080301665,0,underidentified,0,,
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,1407,656,26,16,656,16,42,1,11.757661,17.417505,.49964494,-22.380022,45.895344,30.404224,.38671142,-.73608261,1.5095055,.2590096,.62525165,.74790907,.62525165,.44463903,.12729223,0,underidentified,0,,
H01,hh_share_female_2017,Female household members,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,1.2961018,7.1490922,.85613525,-12.715861,15.308065,30.435106,.042585749,-.41780245,.50297391,,,,,,,0,secondary_assignment_supported,0,1,
H02,hh_share_age_15_29_2017,Household members age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1708,874,37,22,874,22,59,1,11.032721,9.4148941,.24126251,-7.4201322,29.485575,27.156515,.40626425,-.2732358,1.0857643,1.6313051,5.872468,4.5427341,4.5427341,.072401971,.42689148,0,underidentified,0,,
H02,hh_share_age_15_29_2017,Household members age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,1832,874,39,22,874,22,43,1,17.455511,13.633438,.20042363,-9.2655354,44.176559,27.181025,.64219481,-.34088251,1.625272,1.1905969,4.1187067,4.0850639,4.0850639,.087539367,.11116098,0,underidentified,0,,
H02,hh_share_age_15_29_2017,Household members age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,1832,874,39,22,874,22,61,1,17.455511,13.535414,.19718336,-9.0734119,43.984436,27.181025,.64219481,-.3338142,1.6182038,1.2277497,3.8401961,3.6923413,3.6923413,.085320666,.10461911,0,underidentified,0,1,
