outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
I01,Female,1,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,5.5500541,4.6310167,.23074086,-3.5265718,14.626679,49.732925,.11159717,-.0709102,.29410455,0,underidentified
I01,Female,1,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,9.5291338,7.0831881,.1785229,-4.3536606,23.411926,49.732925,.19160613,-.087540805,.47075307,0,underidentified
I01,Female,1,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,12.879918,10.288351,.21060875,-7.2848797,33.044716,49.732925,.2589817,-.14648002,.66444343,0,underidentified
I02,Age 15-29,2,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,4.3253989,6.8815894,.52964598,-9.1622686,17.813066,46.107304,.093811579,-.19871621,.38633937,0,underidentified
I02,Age 15-29,2,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,14.345591,11.295129,.20406012,-7.7924547,36.483635,46.107304,.3111349,-.16900696,.79127675,0,underidentified
I02,Age 15-29,2,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,22.783598,16.644411,.17104813,-9.8388491,55.406044,46.107304,.49414295,-.21339026,1.2016761,0,underidentified
I03,Lives in another CCPP,3,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,41.243675,27.049309,.12731923,-11.771996,94.259346,49.802853,.82813877,-.2363719,1.8926495,0,underidentified
I03,Lives in another CCPP,3,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,82.666046,55.16272,.1339812,-25.450891,190.78299,49.802853,1.6598657,-.51103282,3.8307643,0,underidentified
I03,Lives in another CCPP,3,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,117.54784,83.699348,.16019806,-46.499866,281.59555,49.802853,2.3602633,-.93367875,5.6542053,0,underidentified
I04,Secondary education or higher,4,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,8.3052807,12.228255,.4970189,-15.661659,32.272221,49.995693,.16611993,-.31326017,.6455,0,underidentified
I04,Secondary education or higher,4,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,13.49376,13.612936,.32156578,-13.187104,40.174625,49.995693,.26989844,-.2637648,.80356169,0,underidentified
I04,Secondary education or higher,4,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,17.86298,18.026997,.32173365,-17.469286,53.195244,49.995693,.35729039,-.34941581,1.0639966,0,underidentified
I05,Employed in the reference week,5,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,-14.359818,8.6237154,.095881946,-31.261992,2.5423536,49.852848,-.2880441,-.62708533,.050997157,0,underidentified
I05,Employed in the reference week,5,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,-9.4287872,12.068029,.43462431,-33.081692,14.224115,49.852848,-.18913236,-.66358674,.28532201,0,underidentified
I05,Employed in the reference week,5,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,-5.2763638,16.229202,.7450937,-37.085014,26.532288,49.852848,-.10583876,-.74388957,.53221202,0,underidentified
I06,Any health insurance,6,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,-6.6315799,6.4001861,.30013019,-19.175714,5.9125538,32.019386,-.2071114,-.59887826,.18465544,0,underidentified
I06,Any health insurance,6,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,-12.742094,14.33546,.37408295,-40.839081,15.354892,32.019386,-.39794937,-1.2754486,.47954985,0,underidentified
I06,Any health insurance,6,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,-17.88776,22.059006,.41742021,-61.12262,25.347097,32.019386,-.55865407,-1.9089254,.79161727,0,underidentified
I07,Reports any disability,7,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,-12.924219,7.3520088,.078761674,-27.333891,1.4854529,38.063755,-.33954138,-.71810818,.039025392,0,underidentified
I07,Reports any disability,7,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,-12.477261,8.9352083,.16258951,-29.989948,5.0354257,38.063755,-.32779902,-.78788728,.13228926,0,underidentified
I07,Reports any disability,7,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,-12.100877,12.046573,.31513387,-35.711723,11.509971,38.063755,-.31791076,-.93820816,.30238667,0,underidentified
I08,Core wellbeing proxy,8,M01,Log baseline CCPP population,1,primary,P25,4.553876891600541,-.60688114,13.488629,9.8556604,.17111887,-5.8281102,32.80537,23.535637,.57311511,-.24762917,1.3938594,0,underidentified
I08,Core wellbeing proxy,8,M01,Log baseline CCPP population,1,primary,P50,5.132848575986667,-.00034832701,20.048113,17.454998,.25073743,-14.163054,54.259281,23.535637,.85181946,-.60177058,2.3054094,0,underidentified
I08,Core wellbeing proxy,8,M01,Log baseline CCPP population,1,primary,P75,5.62040086571715,.51041323,25.571857,25.404024,.3141239,-24.219116,75.362831,23.535637,1.0865165,-1.0290402,3.2020731,0,underidentified
I02,Age 15-29,2,M03,Female respondent,3,primary,Men,0,0,-4.6656628,9.6592627,.62907815,-23.597469,14.266144,46.107304,-.10119141,-.51179463,.30941182,1,pass
I02,Age 15-29,2,M03,Female respondent,3,primary,Women,1,1,9.7459011,8.9022007,.27361548,-7.7020912,27.193893,46.107304,.21137436,-.1670471,.58979583,1,pass
I03,Lives in another CCPP,3,M03,Female respondent,3,primary,Men,0,0,43.940979,21.984871,.045641735,.85142088,87.030533,49.802853,.88229841,.017095825,1.7475009,1,pass
