outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,8.384798,8.6231527,.33087209,-8.5162706,25.285866,49.712692,.16866514,-.17130978,.50864005,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.039110493,0,underidentified,0,,
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,6.5603695,7.5365629,.38404232,-8.2110224,21.33176,49.732925,.13191199,-.16510233,.42892632,1.1921533,4.1240911,4.090404,4.090404,.087539367,.15462276,0,underidentified,0,,
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,6.5603695,7.4282594,.37714779,-7.9987516,21.119492,49.732925,.13191199,-.16083412,.42465812,1.2293546,3.8452163,3.6971681,3.6971681,.085320666,.14882098,0,underidentified,0,1,
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,24.345778,101.49033,.81042117,-174.57161,223.26315,49.85128,.48836815,-3.501848,4.4785843,.046461012,.14523512,.10377287,.10377287,.7395196,.1337145,0,underidentified,0,,
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,3693,1760,39,22,1760,22,46,1,6.5603695,7.209816,.36286369,-7.5706096,20.691349,49.732925,.13191199,-.1522253,.4160493,1.2579315,3.7211423,3.8988576,3.7211423,.087749392,.12796065,0,underidentified,0,,
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,5079,10086,55,31,5079,31,86,1,8.3935719,22.156084,.704808,-35.031555,51.818699,49.708099,.16885723,-.70474541,1.0424598,.16166481,.41917399,.32886466,.32886466,.57437903,.53583711,0,underidentified,0,,
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2813,1249,26,16,1249,16,42,1,12.735472,23.393421,.58616352,-33.114792,58.585735,49.722706,.25612989,-.66598928,1.1782491,.25944388,.62630004,.74916309,.62630004,.44463903,.1593717,0,underidentified,0,,
I01,female_2017,Female,1,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,2.0996568,5.2708163,.69036841,-8.2309532,12.430267,49.732925,.042218648,-.1655031,.2499404,,,,,,,0,secondary_assignment_supported,0,1,
I02,age_15_29_2017,Age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,8.766017,9.3478613,.34836957,-9.5554533,27.087488,46.002731,.19055428,-.20771492,.58882344,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.58577895,0,underidentified,0,,
I02,age_15_29_2017,Age 15-29,2,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,16.520445,12.185452,.17517824,-7.3626022,40.403492,46.107304,.35830429,-.15968408,.87629265,1.1921533,4.1240911,4.090404,4.090404,.087539367,.099171087,0,underidentified,0,,
