analysis_id,wave,level,outcome_id,outcome_var,outcome_label,family,tier,evidence_class,timing_role,treatment_var,spec_id,estimand_label,paper_role,analysis_status,reportable_late,estimator,estimand,sample_rule,weighting,vce,predictor_var,source_result_file,supporting_specs,multiplicity_family,denominator,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
M13C_M01,2013,ccpp,M01,share_asset_internet_2013,Households with internet access,mechanism,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013,Households with valid asset response,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,-.039062213,.031303491,.22410759,.88891232,-.40793931,.47054631,.10788935,.37867558,.082665719,-1.0772791,1.2426106,.67203528,.78113091,.23184101,11.351862,,,,0,.88891232,.88891232
M13C_P07,2013,ccpp,P07,labor_force_participation_2013,Labor-force participation,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,primary_2013_ccpp,People age 14 or older with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,10.870605,13.710441,12.885168,.28730687,-11.544025,38.964905,53.618862,14.978951,.91531378,-.77068323,2.6013107,.67203528,.78113091,.23184101,11.351862,,,,0,1,.73640782
M13C_S12,2013,ccpp,S12,employment_rate_2013,Employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,-.24012843,-.58503711,.99775612,.55763841,-2.5406032,1.3705289,98.74913,4.5705743,-.1280008,-.55586082,.29985926,.67203528,.78113091,.23184101,11.351862,,,,0,1,.55763841
M13C_S13,2013,ccpp,S13,unemployment_rate_2013,Unemployment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,.24012843,.58503711,.99775612,.55763841,-1.3705289,2.5406032,1.2508712,4.5705743,.1280008,-.29985926,.55586082,.67203528,.78113091,.23184101,11.351862,,,,0,1,.55763841
M13C_S14,2013,ccpp,S14,child_employment_rate_2013,Child employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_linked,ccpp_equal,cr2 cluster_dist,,rd_2013_ccpp_results.csv,common_h_reduced_form|parametric_common_h,labor_2013,Children with valid activity,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,479,42,22,,,45,44.721191,45.369534,29.58367,.12512796,-12.613395,103.35246,4.7610965,17.261309,2.6283946,-.73073226,5.9875216,.66423833,.78120732,.23456384,11.092015,,,,0,.37538385,.37538385
M13H_H03,2013,household,H03,hh_employment_rate_outcome,Employed working-age members,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,main,estimated,1,rdrobust,fuzzy_late,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,primary_2013_household,Members age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,39074,2612,1198,43,22,65,7.3007813,10.416501,12.816571,.4163689,-14.703518,35.536518,56.229412,33.965794,.30667621,-.43289191,1.0462443,.67203528,.78113091,.23437309,11.107904,,,,0,1,.93320131
M13H_M01,2013,household,M01,wellbeing_connectivity_2013,Connectivity wellbeing domain,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-4.6807332,-4.929657,7.1140685,.48834419,-18.872974,9.0136604,12.738315,16.744274,-.29440853,-1.1271302,.53831303,.67203528,.78113091,.23437309,11.107904,,,,0,1,.89120382
M13H_M02,2013,household,M02,asset_internet_2013,Household has internet access,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-.039062213,.031303491,.22885834,.89120382,-.4172506,.47985759,.10788935,3.2834592,.0095336922,-.12707654,.14614391,.67203528,.78113091,.23437309,11.107904,,,,0,1,.89120382
M13H_M03,2013,household,M03,asset_cable_2013,Household has cable service,connectivity,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,mechanism,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,mechanism_2013_household,Households with validated connectivity responses,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42355,2830,1268,43,22,65,-.11372214,-.62851924,2.0786638,.76237237,-4.7026258,3.4455872,.76064467,8.6897974,-.072328418,-.54116631,.3965095,.67203528,.78113091,.23437309,11.107904,,,,0,1,.89120382
M13H_S16,2013,household,S16,hh_lfp_outcome,Working-age members in the labor force,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,common_h_fuzzy,fuzzy_late_on_mechanism_outcome,appendix,estimated,1,rdrobust,fuzzy_late,selected_bc_household,ccpp_equal,cr2 cluster_ruv,,rd_2013_household_results.csv,common_h_reduced_form|parametric_common_h,labor_2013_household,Members age 14 or older with valid labor status,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,42350,2830,1267,43,22,65,8.7544804,11.842542,13.019589,.36303663,-13.675385,37.36047,56.888504,33.335552,.35525262,-.41023427,1.1207395,.67203528,.78113091,.23437309,11.107904,,,,0,.72607327,.56853884
