analysis_id,wave,level,outcome_id,outcome_var,predictor_var,outcome_label,family,tier,evidence_class,timing_role,treatment_var,source_result_file,canonical_spec,supporting_specs,multiplicity_family,denominator,estimand_label,paper_role,spec_id,estimand,estimator,sample_rule,weighting,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh,analysis_status
M13C_M01,2013,ccpp,M01,share_asset_internet_2013,,Households with internet access,mechanism,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013,Households with valid asset response,fuzzy_late_on_mechanism_outcome,mechanism,common_h_reduced_form,reduced_form,rdrobust,selected_bc_linked,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,-.026251188,.016775535,.15452224,.91354841,-.28608248,.31963354,,,,,0,.91354841,.91354841,estimated
M13C_M01,2013,ccpp,M01,share_asset_internet_2013,,Households with internet access,mechanism,mechanism,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,mechanism_2013,Households with valid asset response,fuzzy_late_on_mechanism_outcome,mechanism,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13C_P07,2013,ccpp,P07,labor_force_participation_2013,,Labor-force participation,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_ccpp,People age 14 or older with valid activity,fuzzy_late_on_mechanism_outcome,main,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,7.3054304,10.399835,8.1326447,.20097579,-5.5398564,26.339527,,,,,0,1,.66513908,estimated
M13C_P07,2013,ccpp,P07,labor_force_participation_2013,,Labor-force participation,labor,primary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,primary_2013_ccpp,People age 14 or older with valid activity,fuzzy_late_on_mechanism_outcome,main,parametric_common_h,parametric_late,ivreg2,selected_bc_primary,ccpp_equal,cr1 cluster_dist,1,2,triangular,manual,.0074999998,.0074999998,.0074999998,.0135,.0135,100,65,,,,,45,10.870605,10.870605,10.954356,.3210246,-10.599933,32.341145,10.486603,.31733063,.33866772,,0,1,.70659465,estimated
M13C_S12,2013,ccpp,S12,employment_rate_2013,,Employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_linked,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,-.16137478,-.41936257,.67380083,.53368968,-1.739988,.90126282,,,,,0,1,.53368968,estimated
M13C_S12,2013,ccpp,S12,employment_rate_2013,,Employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13C_S13,2013,ccpp,S13,unemployment_rate_2013,,Unemployment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_linked,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,487,43,22,,,45,.16137478,.41936257,.67380083,.53368968,-.90126282,1.739988,,,,,0,1,.53368968,estimated
M13C_S13,2013,ccpp,S13,unemployment_rate_2013,,Unemployment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013,Labor-force participants with valid activity,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
M13C_S14,2013,ccpp,S14,child_employment_rate_2013,,Child employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013,Children with valid activity,fuzzy_late_on_mechanism_outcome,appendix,common_h_reduced_form,reduced_form,rdrobust,selected_bc_linked,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0074999998,.0074999998,.0135,.0135,100,479,42,22,,,45,29.70553,35.367176,20.67758,.087189756,-5.1601357,75.894485,,,,,0,.26156926,.26156926,estimated
M13C_S14,2013,ccpp,S14,child_employment_rate_2013,,Child employment rate,labor,secondary,mechanism_outcome_effect,candidate_intermediate_2013,treat_12,rd_2013_ccpp_results.csv,common_h_fuzzy,common_h_reduced_form|parametric_common_h,labor_2013,Children with valid activity,fuzzy_late_on_mechanism_outcome,appendix,parametric_common_h,,ivreg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_estimable
