outcome_id,outcome_var,outcome_label,family,tier,multiplicity_family,paper_order,spec_id,estimand,estimator,sample_rule,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,estimation_rc,p_holm,q_bh
D01,treat_12,Treatment through 2012: full B/C design universe,design,design,design,-3,common_h_design,first_stage,rdrobust,selected_bc,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,549,45,26,48,.6526974325887452,.7706635,.22558643,.00063485937,.32852224,1.2128048,.3333333333333333,.4767313,1.616557405765751,.68911403,2.5440009,,,,,,,0,,
D02,treat_12,Treatment through 2012: linked primary sample,design,design,design,-2,common_h_primary,first_stage,rdrobust,selected_bc_linked,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6720353021488914,.78113091,.23184101,.00075372367,.32673085,1.235531,.3488372093023256,.48224282,1.619787504525602,.67752355,2.5620515,,,,,,,0,,
D03,treat_12,Treatment through 2012: MSE selector,design,design,design,-1,mserd_design,first_stage,rdrobust,selected_bc,cr2 cluster_dist,1,2,triangular,mserd,,.0074356901389622,.0074356901,.013481461,.013481461,1,549,45,25,48,.6523837157879847,.76780421,.22596149,.00067894632,.32492784,1.2106806,.3333333333333333,.4767313,1.610559733933914,.68157434,2.5395451,,,,,,,0,,
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_covariates,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,462,41,22,43,.0929350729859888,.15249497,.24309412,.53045714,-.32396075,.62895066,4.71255793693885,1.1692562,.1304204822370281,-.27706566,.53790665,.6504989846138965,.75404376,.19022626,15.712748,,,0,1,.7216639518737793
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_cr1,fuzzy_late,rdrobust,selected_bc_primary,cr1 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6140960585701957,.65529013,1.1896868,.58176464,-1.6764532,2.9870334,4.744869298055824,1.1517433,.5689550162811319,-1.4555789,2.5934889,.6720353021488914,.78113091,.22599746,11.946495,,,0,1,.7266556876046316
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_cr3,fuzzy_late,rdrobust,selected_bc_primary,cr3 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6140960585701957,.65529013,1.2911271,.61178064,-1.8752725,3.1858528,4.744869298055824,1.1517433,.5689550162811319,-1.6282035,2.7661135,.6720353021488914,.78113091,.24833858,9.893712,,,0,1,.7596393312726701
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_epanechnikov,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,epanechnikov,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6958250655380789,.73750263,1.1575845,.52405661,-1.5313214,3.0063267,4.744869298055824,1.1517433,.6403359493866699,-1.3295684,2.6102402,.6822543313350309,.80355632,.23737378,11.459538,,,0,1,.7079612186976841
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_fuzzy,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6140960585701957,.65529013,1.2186223,.59076327,-1.7331657,3.043746,4.744869298055824,1.1517433,.5689550162811319,-1.5048195,2.6427295,.6720353021488914,.78113091,.23184101,11.351862,,,0,1,.7364078249250139
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_hc3,fuzzy_late,rdrobust,selected_bc_primary,hc3,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6140960585701957,.65529013,1.3112652,.61725903,-1.9147426,3.2253227,4.744869298055824,1.1517433,.5689550162811319,-1.6624734,2.8003833,.6720353021488914,.78113091,.24998967,9.7634544,,,0,1,.7375334330967493
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_nn,fuzzy_late,rdrobust,selected_bc_primary,nn 3,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6140960585701957,.65529013,1.4129606,.64281183,-2.1140618,3.4246421,4.744869298055824,1.1517433,.5689550162811319,-1.8355322,2.9734423,.6720353021488914,.78113091,.20958601,13.890666,,,0,1,.7486917631966726
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_reduced_form,reduced_form,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.4126942302696648,.50737327,.78305,.51702058,-1.0273765,2.0421231,4.744869298055824,1.1517433,.440526352553074,-.89201868,1.7730714,,,,,,,0,1,.6651390620640346
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,common_h_uniform,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,uniform,manual,,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.5055416643646858,.41638103,.91686487,.64973116,-1.3806411,2.2134032,4.744869298055824,1.1517433,.3615224355141716,-1.1987402,1.9217851,.7491927348941996,.8783322,.24311228,13.052804,,,0,1,.753040177481515
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,donut_005,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,.00005,.0075,.0074999998,.0135,.0135,1,487,43,22,45,.6140960585701957,.65529013,1.2186223,.59076327,-1.7331657,3.043746,4.744869298055824,1.1517433,.5689550162811319,-1.5048195,2.6427295,.6720353021488914,.78113091,.23184101,11.351862,,,0,1,.7364078249250139
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,donut_025,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,.00025,.0075,.0074999998,.0135,.0135,1,486,43,21,44,.9468149153712133,1.0267529,1.6235261,.52711147,-2.1552997,4.2088056,4.744869298055824,1.1517433,.8914772343638339,-1.8713369,3.6542914,.5876915334503652,.69047242,.28702703,5.7869143,,,0,1,.7028152942657471
P01,ln_sisfoh2013_population,Log rostered population,demography,primary,primary_2013_ccpp,1,fixed_h_005,fuzzy_late,rdrobust,selected_bc_primary,cr2 cluster_dist,1,2,triangular,manual,.005,.005,.0049999999,.0089999996,.0089999996,1,487,29,15,36,.3286754758161926,.36090949,1.6502882,.82688779,-2.873596,3.5954149,4.741419114416744,1.3569142,.2659781313767638,-2.1177435,2.6496997,.5965733413796614,.63612133,.26744443,5.6573467,,,0,1,.9960062503814697
