outcome_id,outcome_var,outcome_label,family,tier,multiplicity_family,paper_order,spec_id,estimand,estimator,sample_rule,weighting,vce,p,q,kernel,bwselect,tuning_value,h_left,h_right,b_left,b_right,scale,n_input,n_eff_left,n_eff_right,ccpp_left,ccpp_right,clusters,estimate_cl,estimate_bc,standard_error,pvalue,ci_low,ci_high,control_mean,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,first_stage_cl,first_stage_bc,first_stage_se,first_stage_f,weak_robust_p,wild_cluster_p,underid_p,estimation_rc,p_holm,q_bh
D01,treat_16,Treatment through 2016: source-household universe,design,design,design,-4,common_h_ccpp_equal,first_stage,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,33066,2779,1278,42,23,65,.8574800064384236,.99320281,.2101917,2.2986237e-06,.58123463,1.4051709,.3333333333333333,.47148937,2.106522163533708,1.2327629,2.9802814,,,,,,,,0,,
D02,treat_16,Treatment through 2016: complete primary sample,design,design,design,-3,common_h_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,24877,1832,874,39,22,61,.8381294213419591,.9636364,.21509227,7.4605628e-06,.5420633,1.3852094,.3333333333333333,.47153324,2.043623453737081,1.1495759,2.9376709,,,,,,,,0,,
D03,treat_16,Treatment through 2016: household-equal sensitivity,design,design,design,-2,common_h_primary_household_equal,first_stage,rdrobust,selected_bc_primary_household,household_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,1,24877,1832,874,39,22,61,.6001466068845569,.62485355,.38985592,.10898308,-.13925004,1.3889571,.3558951965065502,.47891441,1.304729093175532,-.29076186,2.9002199,,,,,,,,0,,
D04,treat_16,Treatment through 2016: treatment-based MSE selector,design,design,design,-1,mserd_primary_ccpp_equal,first_stage,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,mserd,,.0064558679444624,.006455868,.012463976,.012463976,1,24877,1708,697,34,17,51,.7909329343162442,.88651717,.22613955,.000088467554,.44329178,1.3297426,.2941176470588235,.45577854,1.945061228394603,.9726035,2.9175191,,,,,,,,0,,
D05,rd_primary_eligible,Household included in complete primary sample,linkage,design,design,-.8,common_h_primary_observed,selection,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,33066,2779,1278,42,23,65,-22.41996413884613,-27.004147,12.201691,.026887452,-50.919022,-3.0892715,67.52392651031845,46.836967,-.5765562645546672,-1.0871545,-.065957978,,,,,,,,0,,
D06,hh_link_rate_2017,Household member linkage rate,linkage,design,design,-.7,common_h_household_link_rate,selection,rdrobust,selected_bc_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,33066,2779,1278,42,23,65,-9.313481074755781,-10.585561,12.821605,.40902913,-35.715446,14.544324,75.43683167451005,34.698574,-.3050719095384223,-1.0293058,.41916198,,,,,,,,0,,
H01,hh_share_female_2017,Female household members,demography,primary,primary_2017_household,1,common_h_covariates,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,24164,1708,874,37,22,59,10.44827867154291,10.822894,4.7389455,.022382163,1.534732,20.111057,54.31884447800884,30.648737,.3531269413867097,.050074887,.65617901,.9401559597086345,1.0889155,.1713306,40.394154,,,,0,.1790573000907898,.1467673927545547
H01,hh_share_female_2017,Female household members,demography,primary,primary_2017_household,1,common_h_cr1_ccpp,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr1 cluster_ruv,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,24877,1832,874,39,22,61,9.54088460021476,9.9600801,4.9109826,.042547632,.33473083,19.58543,54.1445950586402,30.435106,.3272562910553694,.010998182,.64351439,.8381294213419591,.9636364,.2069329,21.68539,,,,0,.3403810560703278,.3403810560703278
H01,hh_share_female_2017,Female household members,demography,primary,primary_2017_household,1,common_h_cr2_district,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_dist,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,24877,1832,874,39,22,43,9.54088460021476,9.9600801,5.0821214,.050015986,-.00069496321,19.920855,54.1445950586402,30.435106,.3272562910553694,-.000022834261,.65453541,.8381294213419591,.9636364,.21669541,19.775475,,,,0,.4001278877258301,.3961705565452576
H01,hh_share_female_2017,Female household members,demography,primary,primary_2017_household,1,common_h_cr2_score,fuzzy_late,rdrobust,selected_bc_primary_household,ccpp_equal,cr2 cluster_score,1,2,triangular,manual,,.0075,.0074999998,.0135,.0135,100,24877,1832,874,39,22,46,9.54088460021476,9.9600801,5.2036805,.055614382,-.23894675,20.159107,54.1445950586402,30.435106,.3272562910553694,-.0078510242,.66236359,.8381294213419591,.9636364,.22862765,17.76515,,,,0,.4449150562286377,.3956153690814972
